epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,454.15,1.86151,4.61441,1.67119,0.57566,0.65792,0.59222,0.33235,1.37519,7.85752,1.29592,0.00022,0.00022,0.00022
2,895.414,1.68658,2.06065,1.55,0.83208,0.75095,0.83711,0.50184,1.45361,2.07446,1.3501,0.000448615,0.000448615,0.000448615
3,1268.47,1.6902,1.68658,1.40735,0.92204,0.84848,0.86631,0.49457,1.4792,1.61463,1.33285,0.00066535,0.00066535,0.00066535
4,1675.02,1.71099,1.4854,1.47765,0.84949,0.68439,0.75306,0.39823,1.71804,1.86283,1.50312,0.000870205,0.000870205,0.000870205
5,2038.53,1.61759,1.37941,1.47134,0.83623,0.87879,0.8571,0.47049,1.5058,1.25597,1.42713,0.00106318,0.00106318,0.00106318
6,2416.02,1.68236,1.28213,1.44522,0.43739,0.39394,0.35795,0.17571,2.57852,3.16537,2.15169,0.00124427,0.00124427,0.00124427
7,2784.94,1.72365,1.23447,1.4424,0.6693,0.92011,0.8292,0.49749,1.48098,3.39449,1.53503,0.00141349,0.00141349,0.00141349
8,3158.17,1.71986,1.45048,1.53452,0.48506,0.54545,0.36777,0.14248,2.53719,2.19794,2.11249,0.00157083,0.00157083,0.00157083
9,3519.18,1.75853,1.18434,1.44764,0.01233,0.27273,0.00673,0.00178,3.14375,19.629,2.67201,0.001604,0.001604,0.001604
10,3883.45,1.78787,1.30137,1.4469,0.01233,0.27273,0.00673,0.00178,5.87861,72.897,11.2987,0.0015545,0.0015545,0.0015545
11,4243.98,1.69835,1.26876,1.45681,0.00086,0.0303,0.00021,6e-05,4.41691,49.3232,4.53283,0.001505,0.001505,0.001505
12,4605.92,1.62977,1.22553,1.41653,0.36068,0.18182,0.11993,0.04839,2.66511,3.19013,2.24665,0.0014555,0.0014555,0.0014555
13,4969.28,1.65483,1.10006,1.4202,0.32106,0.18182,0.17702,0.07257,2.49072,2.65163,2.07604,0.001406,0.001406,0.001406
14,5335.06,1.60982,1.12328,1.43129,0.5026,0.09091,0.11337,0.04296,2.93885,3.33481,2.47747,0.0013565,0.0013565,0.0013565
